adhesivity,particle_size,time_throughput_100_scaled,efficiency_throughput_100,time_throughput_100
0.2,0.01,0.9568946242417946,0.3514240059081753,104.50471500896563
0.4,0.01,0.9372996191301687,0.5647008131053836,106.68947043081255
0.6,0.01,0.9228632403865553,0.7082044164647304,108.3584171779488
0.8,0.01,0.8993881900156969,0.8036075438180877,111.18669458874561
1.0,0.01,0.8873745649182598,0.8676194121166095,112.6919836937308
0.2,0.02,0.9245960913153433,0.35130414852947867,108.1553350044327
0.4,0.02,0.850936641158862,0.5645586302620839,117.51756260467684
0.6,0.02,0.8056556995906838,0.7080487210966514,124.12250053069238
0.8,0.02,0.7812213327626523,0.8035382508847978,128.00469701251953
1.0,0.02,0.7645488618031292,0.8672830739097454,130.79608772702605
0.2,0.03,0.8801803055565487,0.35129908996730785,113.61308514710379
0.4,0.03,0.7842175785907791,0.5645620027734587,127.51563179659615
0.6,0.03,0.7288493409784965,0.70793493718305,137.20256626115318
0.8,0.03,0.6834044544176621,0.8034566856729829,146.3262338335376
1.0,0.03,0.6032588823315388,0.8676353277918015,165.76631182537986
0.2,0.04,0.8335766889542529,0.3513590159862593,119.96496702115437
0.4,0.04,0.7221729669589757,0.5646484339315686,138.47098212647535
0.6,0.04,0.6337643522107759,0.7078716196916152,157.7873536925318
0.8,0.04,0.5156512900504443,0.8036802449153545,193.92950610133713
0.2,0.05,0.7895630838541141,0.3514413769934886,126.65232461460519
0.4,0.05,0.6546882304936121,0.5647620282255282,152.74445964089423
0.6,0.05,0.5077894469831167,0.7078735861988389,196.93201698877542
0.2,0.06,0.7492154119595067,0.3515109338691296,133.4729617193256
0.4,0.06,0.5771174880128633,0.5648535264485376,173.27494327770415
0.2,0.07,0.7113222629475775,0.3515398037875,140.5832562945801
0.4,0.07,0.49119810132951836,0.5648803406665842,203.58384881645824
0.2,0.08,0.6733994424572373,0.3515075060248192,148.5002714512201
0.4,0.08,0.4035844018163708,0.5648065890432313,247.77964547177814
0.2,0.09,0.6324956157531267,0.35140100774908434,158.10386271362174
0.2,0.1,0.5860332527407136,0.35121476978765664,170.63878121647187
