adhesivity,termination_time,lifetime,volume_time_400
0.0,6000.0,6000.0,399.99999999999983
0.01,6000.0,3808.5439134750504,384.81428265640363
0.02,6000.0,2816.8098378097793,370.97730390930445
0.03,6000.0,2242.271323323415,358.35592605132643
0.04,6000.0,1866.2841609118555,346.7808049623177
0.05,5245.4156244299775,1530.595305860096,336.152769719883
0.06,4185.957993049768,1254.2246703145884,326.33347435701234
0.07,3482.5819446233986,1066.0893633405155,317.24295555089975
0.08,2993.1294032969554,930.7942828232184,308.8019078031324
0.09,2637.2306370458477,828.9468743330251,300.9651977072825
0.1,2368.517881100642,749.492874426385,293.6305350153924
0.11,2154.862205451728,685.1147728332244,286.77244538827375
0.12,1980.4675861355618,631.9656052141861,280.34431717416373
0.13,1834.4070029749473,587.0342072845959,274.2884880824651
0.14,1710.2869946981136,548.6693078074405,268.5994907123144
0.15,1602.6784494285268,515.3774094220486,263.23052834944536
0.16,1508.1294427893615,486.21598313421237,258.16216134702273
0.17,1424.353271553066,460.3767143302746,253.35320094143984
0.18,1350.005832978782,437.39717286743985,248.79404427269773
0.19,1282.9369597280825,416.7322286315928,244.4549187381305
0.2,1222.4394241176092,398.1001619250273,240.32664904852706
0.21,1167.4189193769978,381.23614260318914,236.40848409544617
0.22,1116.9401643548842,365.7954984049015,232.6507879636081
0.23,1070.9310734002354,351.6787080039472,229.0567785025451
0.24,1027.881355694417,338.63134834336853,225.61450104548115
0.25,988.7270552478151,326.65129900705097,222.31354380412535
0.26,951.8663982526762,315.5071023915517,219.14248945282012
0.27,917.7091433847386,305.1484606074674,216.0879931405568
0.28,885.7923039691276,295.4986649390327,213.15176211944478
0.29,856.124049227343,286.50484598938186,210.3195814872467
0.3,827.8735879386486,278.0302228906693,207.59071826809208
0.31,801.6685931469912,270.12742003466207,204.94614367452087
0.32,777.0315860923594,262.67494782154785,202.38692060606581
0.33,753.2849869405056,255.59502205710882,199.90427956372116
0.34,731.0874835684641,248.9458057617428,197.49790814108434
0.35,710.1367050684515,242.65772652452216,195.15959853996287
0.36,690.2507714263129,236.69344891124248,192.88845427222256
0.37,671.248290353223,231.0215169309614,190.67170742846878
0.38,653.1385792249787,225.62193744385428,188.5145748307251
0.39,635.9360690737926,220.48676719371832,186.4095602789166
0.4,619.454805368637,215.5785561316307,184.35533854982145
0.41,603.8690654630786,210.85885155139044,182.2952620721154
0.42,588.8856891131411,206.3923654077891,180.32729640948517
0.43,574.5422348680139,202.1164051303739,178.39931153972861
0.44,560.8451007144178,198.02411759585996,176.50857655049882
0.45,547.6687512510782,194.09564536872284,174.65389740349121
0.46,535.0338632029602,190.32601084443786,172.83235765288651
0.47,522.9104282328203,186.7056113594135,171.04180503238126
0.48,511.2521903624285,183.22382698462042,169.28023626596223
0.49,500.04324012862344,179.8741610366088,167.54611059432926
0.5,489.14776426667567,176.62849607723416,165.83142836918745
0.51,478.7528577034543,173.51803073064605,164.1464269384934
0.52,468.6678175979034,170.5141476616053,162.48795492550087
0.53,459.1207364184306,167.6379757825556,160.8510380721166
0.54,449.79322091644775,164.84078268238173,159.22962762820805
0.55,440.77818290742556,162.13648123129354,157.62753798120286
0.56,432.1337088125165,159.5259133952825,156.0408850483805
0.57,423.5792405227331,156.97975966468098,154.4727490551094
0.58,415.50126152344586,154.5385014292079,152.92291239882852
0.59,407.56192465018796,152.15837988301186,151.38633117280617
0.6,399.8222601941656,149.84195289916744,149.84195289916744
0.61,392.4105767970734,147.60716560031224,147.60716560031224
0.62,385.35669718750063,145.46310766273905,145.46310766273905
0.63,378.4106955277376,143.36066107662523,143.36066107662523
0.64,371.67818594119205,141.3190642768629,141.3190642768629
0.65,365.14721707326555,139.3353877729809,139.3353877729809
0.66,358.80844771914406,137.40703210461834,137.40703210461834
0.67,352.64165884724054,135.53149714582338,135.53149714582338
0.68,346.67134753711724,133.70688724341082,133.70688724341082
0.69,340.85811521826395,131.93109732569965,131.93109732569965
0.7,335.2272763796624,130.20657557280293,130.20657557280293
0.71,329.6831022199973,128.51491896279026,128.51491896279026
0.72,324.3762627869376,126.88028984591682,126.88028984591682
0.73,319.1791211776143,125.281134126908,125.281134126908
0.74,314.0902213532608,123.71050980435703,123.71050980435703
0.75,309.1220530955139,122.19275095856318,122.19275095856318
0.76,304.3735019600927,120.71380312760535,120.71380312760535
0.77,299.7408390421851,119.26948076502744,119.26948076502744
0.78,295.16967483094555,117.85198722050889,117.85198722050889
0.79,290.75057548295376,116.47324982382054,116.47324982382054
0.8,286.4252949551196,115.12440328809049,115.12440328809049
0.81,282.2142116169786,113.80575531190941,113.80575531190941
0.82,278.08501523816693,112.51695590840377,112.51695590840377
0.83,274.0675416840947,111.25632929781825,111.25632929781825
0.84,270.1406965649026,110.02404031069554,110.02404031069554
0.85,266.3664953078993,108.82768270654243,108.82768270654243
0.86,262.6038237177639,107.64327167879114,107.64327167879114
0.87,258.9498429767022,106.48874073838644,106.48874073838644
0.88,255.47353615283217,105.37631957978182,105.37631957978182
0.89,252.00595981748336,104.27245957171894,104.27245957171894
0.9,248.506461333634,103.16956324090368,103.16956324090368
0.91,245.21183669947453,102.11273645957799,102.11273645957799
0.92,241.95750845834814,101.07337478903246,101.07337478903246
0.93,238.76603584612644,100.05239928096994,100.05239928096994
0.94,235.76083860761094,99.0763800111934,99.0763800111934
0.95,232.71305479714886,98.09751529513173,98.09751529513173
0.96,229.66705665150522,97.11973186928557,97.11973186928557
0.97,226.7645856867436,96.17944731846836,96.17944731846836
0.98,223.99932761344226,95.27476369131719,95.27476369131719
0.99,221.12736675043075,94.35286938804231,94.35286938804231
1.0,218.46295238734456,93.47973063530708,93.47973063530708
